Nome: TUCUMA
Codigo Estacao: A234
Latitude: -6.74333333
Longitude: -51.14194444
Altitude: 320.93
Situacao: Pane
Data Inicial: 2008-07-17
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2009-07-27;null;null;null;null;null;null;null;null;null;null;
2009-07-28;null;null;null;null;null;null;null;null;null;null;
2009-07-29;null;null;null;null;null;null;null;null;null;null;
2009-07-30;null;null;null;null;null;null;null;null;null;null;
2009-07-31;null;null;null;null;null;null;null;null;null;null;
2009-08-01;null;null;null;null;null;null;null;null;null;null;
2009-08-02;null;null;null;null;null;null;null;null;null;null;
2009-08-03;null;null;null;null;null;null;null;null;null;null;
2009-08-04;null;null;null;null;null;null;null;null;null;null;
2009-08-05;null;null;null;null;null;null;null;null;null;null;
2009-08-06;null;null;null;null;null;null;null;null;null;null;
2009-08-07;null;null;null;null;null;null;null;null;null;null;
2009-08-08;null;null;null;null;null;null;null;null;null;null;
2009-08-09;null;null;null;null;null;null;null;null;null;null;
2009-08-10;null;null;null;null;null;null;null;null;null;null;
2009-08-11;null;null;null;null;null;null;null;null;null;null;
2009-08-12;null;null;null;null;null;null;null;null;null;null;
2009-08-13;null;null;null;null;null;null;null;null;null;null;
2009-08-14;null;null;null;null;null;null;null;null;null;null;
2009-08-15;null;null;null;null;null;null;null;null;null;null;
2009-08-16;null;null;null;null;null;null;null;null;null;null;
2009-08-17;null;null;null;null;null;null;null;null;null;null;
2009-08-18;null;null;null;null;null;null;null;null;null;null;
2009-08-19;null;null;null;null;null;null;null;null;null;null;
2009-08-20;null;null;null;null;null;null;null;null;null;null;
2009-08-21;null;null;null;null;null;null;null;null;null;null;
2009-08-22;null;null;null;null;null;null;null;null;null;null;
2009-08-23;null;null;null;null;null;null;null;null;null;null;
2009-08-24;null;null;null;null;null;null;null;null;null;null;
2009-08-25;null;null;null;null;null;null;null;null;null;null;
2009-08-26;null;null;null;null;null;null;null;null;null;null;
2009-08-27;null;null;null;null;null;null;null;null;null;null;
2009-08-28;null;null;null;null;null;null;null;null;null;null;
2009-08-29;null;null;null;null;null;null;null;null;null;null;
2009-08-30;null;null;null;null;null;null;null;null;null;null;
2009-08-31;null;null;null;null;null;null;null;null;null;null;
2009-09-01;null;null;null;null;null;null;null;null;null;null;
2009-09-02;null;null;null;null;null;null;null;null;null;null;
2009-09-03;null;null;null;null;null;null;null;null;null;null;
2009-09-04;null;null;null;null;null;null;null;null;null;null;
2009-09-05;null;null;null;null;null;null;null;null;null;null;
2009-09-06;null;null;null;null;null;null;null;null;null;null;
2009-09-07;null;null;null;null;null;null;null;null;null;null;
2009-09-08;null;null;null;null;null;null;null;null;null;null;
2009-09-09;null;null;null;null;null;null;null;null;null;null;
2009-09-10;null;null;null;null;null;null;null;null;null;null;
2009-09-11;null;null;null;null;null;null;null;null;null;null;
2009-09-12;null;null;null;null;null;null;null;null;null;null;
2009-09-13;null;null;null;null;null;null;null;null;null;null;
2009-09-14;null;null;null;null;null;null;null;null;null;null;
2009-09-15;null;null;null;null;null;null;null;null;null;null;
2009-09-16;null;null;null;null;null;null;null;null;null;null;
2009-09-17;null;null;null;null;null;null;null;null;null;null;
2009-09-18;null;null;null;null;null;null;null;null;null;null;
2009-09-19;null;null;null;null;null;null;null;null;null;null;
2009-09-20;null;null;null;null;null;null;null;null;null;null;
2009-09-21;null;null;null;null;null;null;null;null;null;null;
2009-09-22;null;null;null;null;null;null;null;null;null;null;
2009-09-23;null;null;null;null;null;null;null;null;null;null;
2009-09-24;null;null;null;null;null;null;null;null;null;null;
2009-09-25;null;null;null;null;null;null;null;null;null;null;
2009-09-26;null;null;null;null;null;null;null;null;null;null;
2009-09-27;null;null;null;null;null;null;null;null;null;null;
2009-09-28;null;null;null;null;null;null;null;null;null;null;
2009-09-29;null;null;null;null;null;null;null;null;null;null;
2009-09-30;null;null;null;null;null;null;null;null;null;null;
2009-10-01;null;null;null;null;null;null;null;null;null;null;
2009-10-02;null;null;null;null;null;null;null;null;null;null;
2009-10-03;null;null;null;null;null;null;null;null;null;null;
2009-10-04;null;null;null;null;null;null;null;null;null;null;
2009-10-05;null;null;null;null;null;null;null;null;null;null;
2009-10-06;null;null;null;null;null;null;null;null;null;null;
2009-10-07;null;null;null;null;null;null;null;null;null;null;
2009-10-08;null;null;null;null;null;null;null;null;null;null;
2009-10-09;null;null;null;null;null;null;null;null;null;null;
2009-10-10;null;null;null;null;null;null;null;null;null;null;
2009-10-11;null;null;null;null;null;null;null;null;null;null;
2009-10-12;null;null;null;null;null;null;null;null;null;null;
2009-10-13;null;null;null;null;null;null;null;null;null;null;
2009-10-14;null;null;null;null;null;null;null;null;null;null;
2009-10-15;null;null;null;null;null;null;null;null;null;null;
2009-10-16;null;null;null;null;null;null;null;null;null;null;
2009-10-17;null;null;null;null;null;null;null;null;null;null;
2009-10-18;null;null;null;null;null;null;null;null;null;null;
2009-10-19;null;null;null;null;null;null;null;null;null;null;
2009-10-20;null;null;null;null;null;null;null;null;null;null;
2009-10-21;null;null;null;null;null;null;null;null;null;null;
2009-10-22;null;null;null;null;null;null;null;null;null;null;
2009-10-23;null;null;null;null;null;null;null;null;null;null;
2009-10-24;null;null;null;null;null;null;null;null;null;null;
2009-10-25;null;null;null;null;null;null;null;null;null;null;
2009-10-26;null;null;null;null;null;null;null;null;null;null;
2009-10-27;null;null;null;null;null;null;null;null;null;null;
2009-10-28;null;null;null;null;null;null;null;null;null;null;
2009-10-29;null;null;null;null;null;null;null;null;null;null;
2009-10-30;null;null;null;null;null;null;null;null;null;null;
2009-10-31;null;null;null;null;null;null;null;null;null;null;
2009-11-01;null;null;null;null;null;null;null;null;null;null;
2009-11-02;null;null;null;null;null;null;null;null;null;null;
2009-11-03;null;null;null;null;null;null;null;null;null;null;
2009-11-04;null;null;null;null;null;null;null;null;null;null;
2009-11-05;null;null;null;null;null;null;null;null;null;null;
2009-11-06;null;null;null;null;null;null;null;null;null;null;
2009-11-07;null;null;null;null;null;null;null;null;null;null;
2009-11-08;null;null;null;null;null;null;null;null;null;null;
2009-11-09;null;null;null;null;null;null;null;null;null;null;
2009-11-10;null;null;null;null;null;null;null;null;null;null;
2009-11-11;null;null;null;null;null;null;null;null;null;null;
2009-11-12;null;null;null;null;null;null;null;null;null;null;
2009-11-13;null;null;null;null;null;null;null;null;null;null;
2009-11-14;null;null;null;null;null;null;null;null;null;null;
2009-11-15;null;null;null;null;null;null;null;null;null;null;
2009-11-16;null;null;null;null;null;null;null;null;null;null;
2009-11-17;null;null;null;null;null;null;null;null;null;null;
2009-11-18;null;null;null;null;null;null;null;null;null;null;
2009-11-19;null;null;null;null;null;null;null;null;null;null;
2009-11-20;null;null;null;null;null;null;null;null;null;null;
2009-11-21;null;null;null;null;null;null;null;null;null;null;
2009-11-22;null;null;null;null;null;null;null;null;null;null;
2009-11-23;null;null;null;null;null;null;null;null;null;null;
2009-11-24;null;null;null;null;null;null;null;null;null;null;
2009-11-25;null;null;null;null;null;null;null;null;null;null;
2009-11-26;null;null;null;null;null;null;null;null;null;null;
2009-11-27;null;null;null;null;null;null;null;null;null;null;
2009-11-28;null;null;null;null;null;null;null;null;null;null;
2009-11-29;null;null;null;null;null;null;null;null;null;null;
2009-11-30;null;null;null;null;null;null;null;null;null;null;
2009-12-01;null;null;null;null;null;null;null;null;null;null;
2009-12-02;null;null;null;null;null;null;null;null;null;null;
2009-12-03;null;null;null;null;null;null;null;null;null;null;
2009-12-04;null;null;null;null;null;null;null;null;null;null;
2009-12-05;null;null;null;null;null;null;null;null;null;null;
2009-12-06;null;null;null;null;null;null;null;null;null;null;
2009-12-07;null;null;null;null;null;null;null;null;null;null;
2009-12-08;null;null;null;null;null;null;null;null;null;null;
2009-12-09;null;null;null;null;null;null;null;null;null;null;
2009-12-10;null;null;null;null;null;null;null;null;null;null;
2009-12-11;null;null;null;null;null;null;null;null;null;null;
2009-12-12;null;null;null;null;null;null;null;null;null;null;
2009-12-13;null;null;null;null;null;null;null;null;null;null;
2009-12-14;null;null;null;null;null;null;null;null;null;null;
2009-12-15;null;null;null;null;null;null;null;null;null;null;
2009-12-16;null;null;null;null;null;null;null;null;null;null;
2009-12-17;null;null;null;null;null;null;null;null;null;null;
2009-12-18;null;null;null;null;null;null;null;null;null;null;
2009-12-19;null;null;null;null;null;null;null;null;null;null;
2009-12-20;null;null;null;null;null;null;null;null;null;null;
2009-12-21;null;null;null;null;null;null;null;null;null;null;
2009-12-22;null;null;null;null;null;null;null;null;null;null;
2009-12-23;null;null;null;null;null;null;null;null;null;null;
2009-12-24;null;null;null;null;null;null;null;null;null;null;
2009-12-25;null;null;null;null;null;null;null;null;null;null;
2009-12-26;null;null;null;null;null;null;null;null;null;null;
2009-12-27;null;null;null;null;null;null;null;null;null;null;
2009-12-28;null;null;null;null;null;null;null;null;null;null;
2009-12-29;null;null;null;null;null;null;null;null;null;null;
2009-12-30;null;null;null;null;null;null;null;null;null;null;
2009-12-31;null;null;null;null;null;null;null;null;null;null;
2010-01-01;null;null;null;null;null;null;null;null;null;null;
2010-01-02;null;null;null;null;null;null;null;null;null;null;
2010-01-03;null;null;null;null;null;null;null;null;null;null;
2010-01-04;null;null;null;null;null;null;null;null;null;null;
2010-01-05;null;null;null;null;null;null;null;null;null;null;
2010-01-06;null;null;null;null;null;null;null;null;null;null;
2010-01-07;null;null;null;null;null;null;null;null;null;null;
2010-01-08;null;null;null;null;null;null;null;null;null;null;
2010-01-09;null;null;null;null;null;null;null;null;null;null;
2010-01-10;null;null;null;null;null;null;null;null;null;null;
2010-01-11;null;null;null;null;null;null;null;null;null;null;
2010-01-12;null;null;null;null;null;null;null;null;null;null;
2010-01-13;null;null;null;null;null;null;null;null;null;null;
2010-01-14;null;null;null;null;null;null;null;null;null;null;
2010-01-15;null;null;null;null;null;null;null;null;null;null;
2010-01-16;null;null;null;null;null;null;null;null;null;null;
2010-01-17;null;null;null;null;null;null;null;null;null;null;
2010-01-18;null;null;null;null;null;null;null;null;null;null;
2010-01-19;null;null;null;null;null;null;null;null;null;null;
2010-01-20;null;null;null;null;null;null;null;null;null;null;
2010-01-21;null;null;null;null;null;null;null;null;null;null;
2010-01-22;null;null;null;null;null;null;null;null;null;null;
2010-01-23;null;null;null;null;null;null;null;null;null;null;
2010-01-24;null;null;null;null;null;null;null;null;null;null;
2010-01-25;null;null;null;null;null;null;null;null;null;null;
2010-01-26;null;null;null;null;null;null;null;null;null;null;
2010-01-27;null;null;null;null;null;null;null;null;null;null;
2010-01-28;null;null;null;null;null;null;null;null;null;null;
2010-01-29;null;null;null;null;null;null;null;null;null;null;
2010-01-30;null;null;null;null;null;null;null;null;null;null;
2010-01-31;null;null;null;null;null;null;null;null;null;null;
2010-02-01;null;null;null;null;null;null;null;null;null;null;
2010-02-02;null;null;null;null;null;null;null;null;null;null;
2010-02-03;null;null;null;null;null;null;null;null;null;null;
2010-02-04;null;null;null;null;null;null;null;null;null;null;
2010-02-05;null;null;null;null;null;null;null;null;null;null;
2010-02-06;null;null;null;null;null;null;null;null;null;null;
2010-02-07;null;null;null;null;null;null;null;null;null;null;
2010-02-08;null;null;null;null;null;null;null;null;null;null;
2010-02-09;null;null;null;null;null;null;null;null;null;null;
2010-02-10;null;null;null;null;null;null;null;null;null;null;
2010-02-11;null;null;null;null;null;null;null;null;null;null;
2010-02-12;null;null;null;null;null;null;null;null;null;null;
2010-02-13;null;null;null;null;null;null;null;null;null;null;
2010-02-14;null;null;null;null;null;null;null;null;null;null;
2010-02-15;null;null;null;null;null;null;null;null;null;null;
2010-02-16;null;null;null;null;null;null;null;null;null;null;
2010-02-17;null;null;null;null;null;null;null;null;null;null;
2010-02-18;null;null;null;null;null;null;null;null;null;null;
2010-02-19;null;null;null;null;null;null;null;null;null;null;
2010-02-20;null;null;null;null;null;null;null;null;null;null;
2010-02-21;null;null;null;null;null;null;null;null;null;null;
2010-02-22;null;null;null;null;null;null;null;null;null;null;
2010-02-23;null;null;null;null;null;null;null;null;null;null;
2010-02-24;null;null;null;null;null;null;null;null;null;null;
2010-02-25;null;null;null;null;null;null;null;null;null;null;
2010-02-26;null;null;null;null;null;null;null;null;null;null;
2010-02-27;null;null;null;null;null;null;null;null;null;null;
2010-02-28;null;null;null;null;null;null;null;null;null;null;
2010-03-01;null;null;null;null;null;null;null;null;null;null;
2010-03-02;null;null;null;null;null;null;null;null;null;null;
2010-03-03;null;null;null;null;null;null;null;null;null;null;
2010-03-04;null;null;null;null;null;null;null;null;null;null;
2010-03-05;null;null;null;null;null;null;null;null;null;null;
2010-03-06;null;null;null;null;null;null;null;null;null;null;
2010-03-07;null;null;null;null;null;null;null;null;null;null;
2010-03-08;null;null;null;null;null;null;null;null;null;null;
2010-03-09;null;null;null;null;null;null;null;null;null;null;
2010-03-10;null;null;null;null;null;null;null;null;null;null;
2010-03-11;null;null;null;null;null;null;null;null;null;null;
2010-03-12;null;null;null;null;null;null;null;null;null;null;
2010-03-13;null;null;null;null;null;null;null;null;null;null;
2010-03-14;null;null;null;null;null;null;null;null;null;null;
2010-03-15;null;null;null;null;null;null;null;null;null;null;
2010-03-16;null;null;null;null;null;null;null;null;null;null;
2010-03-17;null;null;null;null;null;null;null;null;null;null;
2010-03-18;null;null;null;null;null;null;null;null;null;null;
2010-03-19;null;null;null;null;null;null;null;null;null;null;
2010-03-20;null;null;null;null;null;null;null;null;null;null;
2010-03-21;null;null;null;null;null;null;null;null;null;null;
2010-03-22;null;null;null;null;null;null;null;null;null;null;
2010-03-23;null;null;null;null;null;null;null;null;null;null;
2010-03-24;null;null;null;null;null;null;null;null;null;null;
2010-03-25;null;null;null;null;null;null;null;null;null;null;
2010-03-26;null;null;null;null;null;null;null;null;null;null;
2010-03-27;null;null;null;null;null;null;null;null;null;null;
2010-03-28;null;null;null;null;null;null;null;null;null;null;
2010-03-29;null;null;null;null;null;null;null;null;null;null;
2010-03-30;null;null;null;null;null;null;null;null;null;null;
2010-03-31;null;null;null;null;null;null;null;null;null;null;
2010-04-01;null;null;null;null;null;null;null;null;null;null;
2010-04-02;null;null;null;null;null;null;null;null;null;null;
2010-04-03;null;null;null;null;null;null;null;null;null;null;
2010-04-04;null;null;null;null;null;null;null;null;null;null;
2010-04-05;null;null;null;null;null;null;null;null;null;null;
2010-04-06;null;null;null;null;null;null;null;null;null;null;
2010-04-07;null;null;null;null;null;null;null;null;null;null;
2010-04-08;null;null;null;null;null;null;null;null;null;null;
2010-04-09;null;null;null;null;null;null;null;null;null;null;
2010-04-10;null;null;null;null;null;null;null;null;null;null;
2010-04-11;null;null;null;null;null;null;null;null;null;null;
2010-04-12;null;null;null;null;null;null;null;null;null;null;
2010-04-13;null;null;null;null;null;null;null;null;null;null;
2010-04-14;null;null;null;null;null;null;null;null;null;null;
2010-04-15;null;null;null;null;null;null;null;null;null;null;
2010-04-16;null;null;null;null;null;null;null;null;null;null;
2010-04-17;null;null;null;null;null;null;null;null;null;null;
2010-04-18;null;null;null;null;null;null;null;null;null;null;
2010-04-19;null;null;null;null;null;null;null;null;null;null;
2010-04-20;null;null;null;null;null;null;null;null;null;null;
2010-04-21;null;null;null;null;null;null;null;null;null;null;
2010-04-22;null;null;null;null;null;null;null;null;null;null;
2010-04-23;null;null;null;null;null;null;null;null;null;null;
2010-04-24;null;null;null;null;null;null;null;null;null;null;
2010-04-25;null;null;null;null;null;null;null;null;null;null;
2010-04-26;null;null;null;null;null;null;null;null;null;null;
2010-04-27;null;null;null;null;null;null;null;null;null;null;
2010-04-28;null;null;null;null;null;null;null;null;null;null;
2010-04-29;null;null;null;null;null;null;null;null;null;null;
2010-04-30;null;null;null;null;null;null;null;null;null;null;
2010-05-01;null;null;null;null;null;null;null;null;null;null;
2010-05-02;null;null;null;null;null;null;null;null;null;null;
2010-05-03;null;null;null;null;null;null;null;null;null;null;
2010-05-04;null;null;null;null;null;null;null;null;null;null;
2010-05-05;null;null;null;null;null;null;null;null;null;null;
2010-05-06;null;null;null;null;null;null;null;null;null;null;
2010-05-07;null;null;null;null;null;null;null;null;null;null;
2010-05-08;null;null;null;null;null;null;null;null;null;null;
2010-05-09;null;null;null;null;null;null;null;null;null;null;
2010-05-10;null;null;null;null;null;null;null;null;null;null;
2010-05-11;null;null;null;null;null;null;null;null;null;null;
2010-05-12;null;null;null;null;null;null;null;null;null;null;
2010-05-13;null;null;null;null;null;null;null;null;null;null;
2010-05-14;null;null;null;null;null;null;null;null;null;null;
2010-05-15;null;null;null;null;null;null;null;null;null;null;
2010-05-16;null;null;null;null;null;null;null;null;null;null;
2010-05-17;null;null;null;null;null;null;null;null;null;null;
2010-05-18;null;null;null;null;null;null;null;null;null;null;
2010-05-19;null;null;null;null;null;null;null;null;null;null;
2010-05-20;null;null;null;null;null;null;null;null;null;null;
2010-05-21;null;null;null;null;null;null;null;null;null;null;
2010-05-22;null;null;null;null;null;null;null;null;null;null;
2010-05-23;null;null;null;null;null;null;null;null;null;null;
2010-05-24;null;null;null;null;null;null;null;null;null;null;
2010-05-25;null;null;null;null;null;null;null;null;null;null;
2010-05-26;null;null;null;null;null;null;null;null;null;null;
2010-05-27;null;null;null;null;null;null;null;null;null;null;
2010-05-28;null;null;null;null;null;null;null;null;null;null;
2010-05-29;null;null;null;null;null;null;null;null;null;null;
2010-05-30;null;null;null;null;null;null;null;null;null;null;
2010-05-31;null;null;null;null;null;null;null;null;null;null;
2010-06-01;null;null;null;null;null;null;null;null;null;null;
2010-06-02;null;null;null;null;null;null;null;null;null;null;
2010-06-03;null;null;null;null;null;null;null;null;null;null;
2010-06-04;null;null;null;null;null;null;null;null;null;null;
2010-06-05;null;null;null;null;null;null;null;null;null;null;
2010-06-06;null;null;null;null;null;null;null;null;null;null;
