Nome: DOM PEDRITO
Codigo Estacao: 83956
Latitude: -30.98
Longitude: -54.67
Altitude: 140
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1982-07-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1973-09-25;null;null;null;null;null;null;null;null;
1973-09-26;null;null;null;null;null;null;null;null;
1973-09-27;null;null;null;null;null;null;null;null;
1973-09-28;null;null;null;null;null;null;null;null;
1973-09-29;null;null;null;null;null;null;null;null;
1973-09-30;null;null;null;null;null;null;null;null;
1973-10-01;null;null;null;null;null;null;null;null;
1973-10-02;null;null;null;null;null;null;null;null;
1973-10-03;null;null;null;null;null;null;null;null;
1973-10-04;null;null;null;null;null;null;null;null;
1973-10-05;null;null;null;null;null;null;null;null;
1973-10-06;null;null;null;null;null;null;null;null;
1973-10-07;null;null;null;null;null;null;null;null;
1973-10-08;null;null;null;null;null;null;null;null;
1973-10-09;null;null;null;null;null;null;null;null;
1973-10-10;null;null;null;null;null;null;null;null;
1973-10-11;null;null;null;null;null;null;null;null;
1973-10-12;null;null;null;null;null;null;null;null;
1973-10-13;null;null;null;null;null;null;null;null;
1973-10-14;null;null;null;null;null;null;null;null;
1973-10-15;null;null;null;null;null;null;null;null;
1973-10-16;null;null;null;null;null;null;null;null;
1973-10-17;null;null;null;null;null;null;null;null;
1973-10-18;null;null;null;null;null;null;null;null;
1973-10-19;null;null;null;null;null;null;null;null;
1973-10-20;null;null;null;null;null;null;null;null;
1973-10-21;null;null;null;null;null;null;null;null;
1973-10-22;null;null;null;null;null;null;null;null;
1973-10-23;null;null;null;null;null;null;null;null;
1973-10-24;null;null;null;null;null;null;null;null;
1973-10-25;null;null;null;null;null;null;null;null;
1973-10-26;null;null;null;null;null;null;null;null;
1973-10-27;null;null;null;null;null;null;null;null;
1973-10-28;null;null;null;null;null;null;null;null;
1973-10-29;null;null;null;null;null;null;null;null;
1973-10-30;null;null;null;null;null;null;null;null;
1973-10-31;null;null;null;null;null;null;null;null;
1973-11-01;null;null;null;null;null;null;null;null;
1973-11-02;null;null;null;null;null;null;null;null;
1973-11-03;null;null;null;null;null;null;null;null;
1973-11-04;null;null;null;null;null;null;null;null;
1973-11-05;null;null;null;null;null;null;null;null;
1973-11-06;null;null;null;null;null;null;null;null;
1973-11-07;null;null;null;null;null;null;null;null;
1973-11-08;null;null;null;null;null;null;null;null;
1973-11-09;null;null;null;null;null;null;null;null;
1973-11-10;null;null;null;null;null;null;null;null;
1973-11-11;null;null;null;null;null;null;null;null;
1973-11-12;null;null;null;null;null;null;null;null;
1973-11-13;null;null;null;null;null;null;null;null;
1973-11-14;null;null;null;null;null;null;null;null;
1973-11-15;null;null;null;null;null;null;null;null;
1973-11-16;null;null;null;null;null;null;null;null;
1973-11-17;null;null;null;null;null;null;null;null;
1973-11-18;null;null;null;null;null;null;null;null;
1973-11-19;null;null;null;null;null;null;null;null;
1973-11-20;null;null;null;null;null;null;null;null;
1973-11-21;null;null;null;null;null;null;null;null;
1973-11-22;null;null;null;null;null;null;null;null;
1973-11-23;null;null;null;null;null;null;null;null;
1973-11-24;null;null;null;null;null;null;null;null;
1973-11-25;null;null;null;null;null;null;null;null;
1973-11-26;null;null;null;null;null;null;null;null;
1973-11-27;null;null;null;null;null;null;null;null;
1973-11-28;null;null;null;null;null;null;null;null;
1973-11-29;null;null;null;null;null;null;null;null;
1973-11-30;null;null;null;null;null;null;null;null;
1973-12-01;null;null;null;null;null;null;null;null;
1973-12-02;null;null;null;null;null;null;null;null;
1973-12-03;null;null;null;null;null;null;null;null;
1973-12-04;null;null;null;null;null;null;null;null;
1973-12-05;null;null;null;null;null;null;null;null;
1973-12-06;null;null;null;null;null;null;null;null;
1973-12-07;null;null;null;null;null;null;null;null;
1973-12-08;null;null;null;null;null;null;null;null;
1973-12-09;null;null;null;null;null;null;null;null;
1973-12-10;null;null;null;null;null;null;null;null;
1973-12-11;null;null;null;null;null;null;null;null;
1973-12-12;null;null;null;null;null;null;null;null;
1973-12-13;null;null;null;null;null;null;null;null;
1973-12-14;null;null;null;null;null;null;null;null;
1973-12-15;null;null;null;null;null;null;null;null;
1973-12-16;null;null;null;null;null;null;null;null;
1973-12-17;null;null;null;null;null;null;null;null;
1973-12-18;null;null;null;null;null;null;null;null;
1973-12-19;null;null;null;null;null;null;null;null;
1973-12-20;null;null;null;null;null;null;null;null;
1973-12-21;null;null;null;null;null;null;null;null;
1973-12-22;null;null;null;null;null;null;null;null;
1973-12-23;null;null;null;null;null;null;null;null;
1973-12-24;null;null;null;null;null;null;null;null;
1973-12-25;null;null;null;null;null;null;null;null;
1973-12-26;null;null;null;null;null;null;null;null;
1973-12-27;null;null;null;null;null;null;null;null;
1973-12-28;null;null;null;null;null;null;null;null;
1973-12-29;null;null;null;null;null;null;null;null;
1973-12-30;null;null;null;null;null;null;null;null;
1973-12-31;null;null;null;null;null;null;null;null;
1974-01-01;null;null;null;null;null;null;null;null;
1974-01-02;null;null;null;null;null;null;null;null;
1974-01-03;null;null;null;null;null;null;null;null;
1974-01-04;null;null;null;null;null;null;null;null;
1974-01-05;null;null;null;null;null;null;null;null;
1974-01-06;null;null;null;null;null;null;null;null;
1974-01-07;null;null;null;null;null;null;null;null;
1974-01-08;null;null;null;null;null;null;null;null;
1974-01-09;null;null;null;null;null;null;null;null;
1974-01-10;null;null;null;null;null;null;null;null;
1974-01-11;null;null;null;null;null;null;null;null;
1974-01-12;null;null;null;null;null;null;null;null;
1974-01-13;null;null;null;null;null;null;null;null;
1974-01-14;null;null;null;null;null;null;null;null;
1974-01-15;null;null;null;null;null;null;null;null;
1974-01-16;null;null;null;null;null;null;null;null;
1974-01-17;null;null;null;null;null;null;null;null;
1974-01-18;null;null;null;null;null;null;null;null;
1974-01-19;null;null;null;null;null;null;null;null;
1974-01-20;null;null;null;null;null;null;null;null;
1974-01-21;null;null;null;null;null;null;null;null;
1974-01-22;null;null;null;null;null;null;null;null;
1974-01-23;null;null;null;null;null;null;null;null;
1974-01-24;null;null;null;null;null;null;null;null;
1974-01-25;null;null;null;null;null;null;null;null;
1974-01-26;null;null;null;null;null;null;null;null;
1974-01-27;null;null;null;null;null;null;null;null;
1974-01-28;null;null;null;null;null;null;null;null;
1974-01-29;null;null;null;null;null;null;null;null;
1974-01-30;null;null;null;null;null;null;null;null;
1974-01-31;null;null;null;null;null;null;null;null;
1974-02-01;null;null;null;null;null;null;null;null;
1974-02-02;null;null;null;null;null;null;null;null;
1974-02-03;null;null;null;null;null;null;null;null;
1974-02-04;null;null;null;null;null;null;null;null;
1974-02-05;null;null;null;null;null;null;null;null;
1974-02-06;null;null;null;null;null;null;null;null;
1974-02-07;null;null;null;null;null;null;null;null;
1974-02-08;null;null;null;null;null;null;null;null;
1974-02-09;null;null;null;null;null;null;null;null;
1974-02-10;null;null;null;null;null;null;null;null;
1974-02-11;null;null;null;null;null;null;null;null;
1974-02-12;null;null;null;null;null;null;null;null;
1974-02-13;null;null;null;null;null;null;null;null;
1974-02-14;null;null;null;null;null;null;null;null;
1974-02-15;null;null;null;null;null;null;null;null;
1974-02-16;null;null;null;null;null;null;null;null;
1974-02-17;null;null;null;null;null;null;null;null;
1974-02-18;null;null;null;null;null;null;null;null;
1974-02-19;null;null;null;null;null;null;null;null;
1974-02-20;null;null;null;null;null;null;null;null;
1974-02-21;null;null;null;null;null;null;null;null;
1974-02-22;null;null;null;null;null;null;null;null;
1974-02-23;null;null;null;null;null;null;null;null;
1974-02-24;null;null;null;null;null;null;null;null;
1974-02-25;null;null;null;null;null;null;null;null;
1974-02-26;null;null;null;null;null;null;null;null;
1974-02-27;null;null;null;null;null;null;null;null;
1974-02-28;null;null;null;null;null;null;null;null;
1974-03-01;null;null;null;null;null;null;null;null;
1974-03-02;null;null;null;null;null;null;null;null;
1974-03-03;null;null;null;null;null;null;null;null;
1974-03-04;null;null;null;null;null;null;null;null;
1974-03-05;null;null;null;null;null;null;null;null;
1974-03-06;null;null;null;null;null;null;null;null;
1974-03-07;null;null;null;null;null;null;null;null;
1974-03-08;null;null;null;null;null;null;null;null;
1974-03-09;null;null;null;null;null;null;null;null;
1974-03-10;null;null;null;null;null;null;null;null;
1974-03-11;null;null;null;null;null;null;null;null;
1974-03-12;null;null;null;null;null;null;null;null;
1974-03-13;null;null;null;null;null;null;null;null;
1974-03-14;null;null;null;null;null;null;null;null;
1974-03-15;null;null;null;null;null;null;null;null;
1974-03-16;null;null;null;null;null;null;null;null;
1974-03-17;null;null;null;null;null;null;null;null;
1974-03-18;null;null;null;null;null;null;null;null;
1974-03-19;null;null;null;null;null;null;null;null;
1974-03-20;null;null;null;null;null;null;null;null;
1974-03-21;null;null;null;null;null;null;null;null;
1974-03-22;null;null;null;null;null;null;null;null;
1974-03-23;null;null;null;null;null;null;null;null;
1974-03-24;null;null;null;null;null;null;null;null;
1974-03-25;null;null;null;null;null;null;null;null;
1974-03-26;null;null;null;null;null;null;null;null;
1974-03-27;null;null;null;null;null;null;null;null;
1974-03-28;null;null;null;null;null;null;null;null;
1974-03-29;null;null;null;null;null;null;null;null;
1974-03-30;null;null;null;null;null;null;null;null;
1974-03-31;null;null;null;null;null;null;null;null;
1974-04-01;null;null;null;null;null;null;null;null;
1974-04-02;null;null;null;null;null;null;null;null;
1974-04-03;null;null;null;null;null;null;null;null;
1974-04-04;null;null;null;null;null;null;null;null;
1974-04-05;null;null;null;null;null;null;null;null;
1974-04-06;null;null;null;null;null;null;null;null;
1974-04-07;null;null;null;null;null;null;null;null;
1974-04-08;null;null;null;null;null;null;null;null;
1974-04-09;null;null;null;null;null;null;null;null;
1974-04-10;null;null;null;null;null;null;null;null;
1974-04-11;null;null;null;null;null;null;null;null;
1974-04-12;null;null;null;null;null;null;null;null;
1974-04-13;null;null;null;null;null;null;null;null;
1974-04-14;null;null;null;null;null;null;null;null;
1974-04-15;null;null;null;null;null;null;null;null;
1974-04-16;null;null;null;null;null;null;null;null;
1974-04-17;null;null;null;null;null;null;null;null;
1974-04-18;null;null;null;null;null;null;null;null;
1974-04-19;null;null;null;null;null;null;null;null;
1974-04-20;null;null;null;null;null;null;null;null;
1974-04-21;null;null;null;null;null;null;null;null;
1974-04-22;null;null;null;null;null;null;null;null;
1974-04-23;null;null;null;null;null;null;null;null;
1974-04-24;null;null;null;null;null;null;null;null;
1974-04-25;null;null;null;null;null;null;null;null;
1974-04-26;null;null;null;null;null;null;null;null;
1974-04-27;null;null;null;null;null;null;null;null;
1974-04-28;null;null;null;null;null;null;null;null;
1974-04-29;null;null;null;null;null;null;null;null;
1974-04-30;null;null;null;null;null;null;null;null;
1974-05-01;null;null;null;null;null;null;null;null;
1974-05-02;null;null;null;null;null;null;null;null;
1974-05-03;null;null;null;null;null;null;null;null;
1974-05-04;null;null;null;null;null;null;null;null;
1974-05-05;null;null;null;null;null;null;null;null;
1974-05-06;null;null;null;null;null;null;null;null;
1974-05-07;null;null;null;null;null;null;null;null;
1974-05-08;null;null;null;null;null;null;null;null;
1974-05-09;null;null;null;null;null;null;null;null;
1974-05-10;null;null;null;null;null;null;null;null;
1974-05-11;null;null;null;null;null;null;null;null;
1974-05-12;null;null;null;null;null;null;null;null;
1974-05-13;null;null;null;null;null;null;null;null;
1974-05-14;null;null;null;null;null;null;null;null;
1974-05-15;null;null;null;null;null;null;null;null;
1974-05-16;null;null;null;null;null;null;null;null;
1974-05-17;null;null;null;null;null;null;null;null;
1974-05-18;null;null;null;null;null;null;null;null;
1974-05-19;null;null;null;null;null;null;null;null;
1974-05-20;null;null;null;null;null;null;null;null;
1974-05-21;null;null;null;null;null;null;null;null;
1974-05-22;null;null;null;null;null;null;null;null;
1974-05-23;null;null;null;null;null;null;null;null;
1974-05-24;null;null;null;null;null;null;null;null;
1974-05-25;null;null;null;null;null;null;null;null;
1974-05-26;null;null;null;null;null;null;null;null;
1974-05-27;null;null;null;null;null;null;null;null;
1974-05-28;null;null;null;null;null;null;null;null;
1974-05-29;null;null;null;null;null;null;null;null;
1974-05-30;null;null;null;null;null;null;null;null;
1974-05-31;null;null;null;null;null;null;null;null;
1974-06-01;null;null;null;null;null;null;null;null;
1974-06-02;null;null;null;null;null;null;null;null;
1974-06-03;null;null;null;null;null;null;null;null;
1974-06-04;null;null;null;null;null;null;null;null;
1974-06-05;null;null;null;null;null;null;null;null;
1974-06-06;null;null;null;null;null;null;null;null;
1974-06-07;null;null;null;null;null;null;null;null;
1974-06-08;null;null;null;null;null;null;null;null;
1974-06-09;null;null;null;null;null;null;null;null;
1974-06-10;null;null;null;null;null;null;null;null;
1974-06-11;null;null;null;null;null;null;null;null;
1974-06-12;null;null;null;null;null;null;null;null;
1974-06-13;null;null;null;null;null;null;null;null;
1974-06-14;null;null;null;null;null;null;null;null;
1974-06-15;null;null;null;null;null;null;null;null;
1974-06-16;null;null;null;null;null;null;null;null;
1974-06-17;null;null;null;null;null;null;null;null;
1974-06-18;null;null;null;null;null;null;null;null;
1974-06-19;null;null;null;null;null;null;null;null;
1974-06-20;null;null;null;null;null;null;null;null;
1974-06-21;null;null;null;null;null;null;null;null;
1974-06-22;null;null;null;null;null;null;null;null;
1974-06-23;null;null;null;null;null;null;null;null;
1974-06-24;null;null;null;null;null;null;null;null;
1974-06-25;null;null;null;null;null;null;null;null;
1974-06-26;null;null;null;null;null;null;null;null;
1974-06-27;null;null;null;null;null;null;null;null;
1974-06-28;null;null;null;null;null;null;null;null;
1974-06-29;null;null;null;null;null;null;null;null;
1974-06-30;null;null;null;null;null;null;null;null;
1974-07-01;null;null;null;null;null;null;null;null;
1974-07-02;null;null;null;null;null;null;null;null;
1974-07-03;null;null;null;null;null;null;null;null;
1974-07-04;null;null;null;null;null;null;null;null;
1974-07-05;null;null;null;null;null;null;null;null;
1974-07-06;null;null;null;null;null;null;null;null;
1974-07-07;null;null;null;null;null;null;null;null;
1974-07-08;null;null;null;null;null;null;null;null;
1974-07-09;null;null;null;null;null;null;null;null;
1974-07-10;null;null;null;null;null;null;null;null;
1974-07-11;null;null;null;null;null;null;null;null;
1974-07-12;null;null;null;null;null;null;null;null;
1974-07-13;null;null;null;null;null;null;null;null;
1974-07-14;null;null;null;null;null;null;null;null;
1974-07-15;null;null;null;null;null;null;null;null;
1974-07-16;null;null;null;null;null;null;null;null;
1974-07-17;null;null;null;null;null;null;null;null;
1974-07-18;null;null;null;null;null;null;null;null;
