Nome: GUANHAES
Codigo Estacao: 83542
Latitude: -18.77
Longitude: -42.93
Altitude: 816
Situacao: Desativada
Data Inicial: 1974-07-06
Data Final: 1985-05-23
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1978-09-09;null;null;null;null;null;null;null;null;
1978-09-10;null;null;null;null;null;null;null;null;
1978-09-11;null;null;null;null;null;null;null;null;
1978-09-12;null;null;null;null;null;null;null;null;
1978-09-13;null;null;null;null;null;null;null;null;
1978-09-14;null;null;null;null;null;null;null;null;
1978-09-15;null;null;null;null;null;null;null;null;
1978-09-16;null;null;null;null;null;null;null;null;
1978-09-17;null;null;null;null;null;null;null;null;
1978-09-18;null;null;null;null;null;null;null;null;
1978-09-19;null;null;null;null;null;null;null;null;
1978-09-20;null;null;null;null;null;null;null;null;
1978-09-21;null;null;null;null;null;null;null;null;
1978-09-22;null;null;null;null;null;null;null;null;
1978-09-23;null;null;null;null;null;null;null;null;
1978-09-24;null;null;null;null;null;null;null;null;
1978-09-25;null;null;null;null;null;null;null;null;
1978-09-26;null;null;null;null;null;null;null;null;
1978-09-27;null;null;null;null;null;null;null;null;
1978-09-28;null;null;null;null;null;null;null;null;
1978-09-29;null;null;null;null;null;null;null;null;
1978-09-30;null;null;null;null;null;null;null;null;
1978-10-01;null;null;null;null;null;null;null;null;
1978-10-02;null;null;null;null;null;null;null;null;
1978-10-03;null;null;null;null;null;null;null;null;
1978-10-04;null;null;null;null;null;null;null;null;
1978-10-05;null;null;null;null;null;null;null;null;
1978-10-06;null;null;null;null;null;null;null;null;
1978-10-07;null;null;null;null;null;null;null;null;
1978-10-08;null;null;null;null;null;null;null;null;
1978-10-09;null;null;null;null;null;null;null;null;
1978-10-10;null;null;null;null;null;null;null;null;
1978-10-11;null;null;null;null;null;null;null;null;
1978-10-12;null;null;null;null;null;null;null;null;
1978-10-13;null;null;null;null;null;null;null;null;
1978-10-14;null;null;null;null;null;null;null;null;
1978-10-15;null;null;null;null;null;null;null;null;
1978-10-16;null;null;null;null;null;null;null;null;
1978-10-17;null;null;null;null;null;null;null;null;
1978-10-18;null;null;null;null;null;null;null;null;
1978-10-19;null;null;null;null;null;null;null;null;
1978-10-20;null;null;null;null;null;null;null;null;
1978-10-21;null;null;null;null;null;null;null;null;
1978-10-22;null;null;null;null;null;null;null;null;
1978-10-23;null;null;null;null;null;null;null;null;
1978-10-24;null;null;null;null;null;null;null;null;
1978-10-25;null;null;null;null;null;null;null;null;
1978-10-26;null;null;null;null;null;null;null;null;
1978-10-27;null;null;null;null;null;null;null;null;
1978-10-28;null;null;null;null;null;null;null;null;
1978-10-29;null;null;null;null;null;null;null;null;
1978-10-30;null;null;null;null;null;null;null;null;
1978-10-31;null;null;null;null;null;null;null;null;
1978-11-01;null;null;null;null;null;null;null;null;
1978-11-02;null;null;null;null;null;null;null;null;
1978-11-03;null;null;null;null;null;null;null;null;
1978-11-04;null;null;null;null;null;null;null;null;
1978-11-05;null;null;null;null;null;null;null;null;
1978-11-06;null;null;null;null;null;null;null;null;
1978-11-07;null;null;null;null;null;null;null;null;
1978-11-08;null;null;null;null;null;null;null;null;
1978-11-09;null;null;null;null;null;null;null;null;
1978-11-10;null;null;null;null;null;null;null;null;
1978-11-11;null;null;null;null;null;null;null;null;
1978-11-12;null;null;null;null;null;null;null;null;
1978-11-13;null;null;null;null;null;null;null;null;
1978-11-14;null;null;null;null;null;null;null;null;
1978-11-15;null;null;null;null;null;null;null;null;
1978-11-16;null;null;null;null;null;null;null;null;
1978-11-17;null;null;null;null;null;null;null;null;
1978-11-18;null;null;null;null;null;null;null;null;
1978-11-19;null;null;null;null;null;null;null;null;
1978-11-20;null;null;null;null;null;null;null;null;
1978-11-21;null;null;null;null;null;null;null;null;
1978-11-22;null;null;null;null;null;null;null;null;
1978-11-23;null;null;null;null;null;null;null;null;
1978-11-24;null;null;null;null;null;null;null;null;
1978-11-25;null;null;null;null;null;null;null;null;
1978-11-26;null;null;null;null;null;null;null;null;
1978-11-27;null;null;null;null;null;null;null;null;
1978-11-28;null;null;null;null;null;null;null;null;
1978-11-29;null;null;null;null;null;null;null;null;
1978-11-30;null;null;null;null;null;null;null;null;
1978-12-01;null;null;null;null;null;null;null;null;
1978-12-02;null;null;null;null;null;null;null;null;
1978-12-03;null;null;null;null;null;null;null;null;
1978-12-04;null;null;null;null;null;null;null;null;
1978-12-05;null;null;null;null;null;null;null;null;
1978-12-06;null;null;null;null;null;null;null;null;
1978-12-07;null;null;null;null;null;null;null;null;
1978-12-08;null;null;null;null;null;null;null;null;
1978-12-09;null;null;null;null;null;null;null;null;
1978-12-10;null;null;null;null;null;null;null;null;
1978-12-11;null;null;null;null;null;null;null;null;
1978-12-12;null;null;null;null;null;null;null;null;
1978-12-13;null;null;null;null;null;null;null;null;
1978-12-14;null;null;null;null;null;null;null;null;
1978-12-15;null;null;null;null;null;null;null;null;
1978-12-16;null;null;null;null;null;null;null;null;
1978-12-17;null;null;null;null;null;null;null;null;
1978-12-18;null;null;null;null;null;null;null;null;
1978-12-19;null;null;null;null;null;null;null;null;
1978-12-20;null;null;null;null;null;null;null;null;
1978-12-21;null;null;null;null;null;null;null;null;
1978-12-22;null;null;null;null;null;null;null;null;
1978-12-23;null;null;null;null;null;null;null;null;
1978-12-24;null;null;null;null;null;null;null;null;
1978-12-25;null;null;null;null;null;null;null;null;
1978-12-26;null;null;null;null;null;null;null;null;
1978-12-27;null;null;null;null;null;null;null;null;
1978-12-28;null;null;null;null;null;null;null;null;
1978-12-29;null;null;null;null;null;null;null;null;
1978-12-30;null;null;null;null;null;null;null;null;
1978-12-31;null;null;null;null;null;null;null;null;
1979-01-01;null;null;null;null;null;null;null;null;
1979-01-02;null;null;null;null;null;null;null;null;
1979-01-03;null;null;null;null;null;null;null;null;
1979-01-04;null;null;null;null;null;null;null;null;
1979-01-05;null;null;null;null;null;null;null;null;
1979-01-06;null;null;null;null;null;null;null;null;
1979-01-07;null;null;null;null;null;null;null;null;
1979-01-08;null;null;null;null;null;null;null;null;
1979-01-09;null;null;null;null;null;null;null;null;
1979-01-10;null;null;null;null;null;null;null;null;
1979-01-11;null;null;null;null;null;null;null;null;
1979-01-12;null;null;null;null;null;null;null;null;
1979-01-13;null;null;null;null;null;null;null;null;
1979-01-14;null;null;null;null;null;null;null;null;
1979-01-15;null;null;null;null;null;null;null;null;
1979-01-16;null;null;null;null;null;null;null;null;
1979-01-17;null;null;null;null;null;null;null;null;
1979-01-18;null;null;null;null;null;null;null;null;
1979-01-19;null;null;null;null;null;null;null;null;
1979-01-20;null;null;null;null;null;null;null;null;
1979-01-21;null;null;null;null;null;null;null;null;
1979-01-22;null;null;null;null;null;null;null;null;
1979-01-23;null;null;null;null;null;null;null;null;
1979-01-24;null;null;null;null;null;null;null;null;
1979-01-25;null;null;null;null;null;null;null;null;
1979-01-26;null;null;null;null;null;null;null;null;
1979-01-27;null;null;null;null;null;null;null;null;
1979-01-28;null;null;null;null;null;null;null;null;
1979-01-29;null;null;null;null;null;null;null;null;
1979-01-30;null;null;null;null;null;null;null;null;
1979-01-31;null;null;null;null;null;null;null;null;
1979-02-01;null;null;null;null;null;null;null;null;
1979-02-02;null;null;null;null;null;null;null;null;
1979-02-03;null;null;null;null;null;null;null;null;
1979-02-04;null;null;null;null;null;null;null;null;
1979-02-05;null;null;null;null;null;null;null;null;
1979-02-06;null;null;null;null;null;null;null;null;
1979-02-07;null;null;null;null;null;null;null;null;
1979-02-08;null;null;null;null;null;null;null;null;
1979-02-09;null;null;null;null;null;null;null;null;
1979-02-10;null;null;null;null;null;null;null;null;
1979-02-11;null;null;null;null;null;null;null;null;
1979-02-12;null;null;null;null;null;null;null;null;
1979-02-13;null;null;null;null;null;null;null;null;
1979-02-14;null;null;null;null;null;null;null;null;
1979-02-15;null;null;null;null;null;null;null;null;
1979-02-16;null;null;null;null;null;null;null;null;
1979-02-17;null;null;null;null;null;null;null;null;
1979-02-18;null;null;null;null;null;null;null;null;
1979-02-19;null;null;null;null;null;null;null;null;
1979-02-20;null;null;null;null;null;null;null;null;
1979-02-21;null;null;null;null;null;null;null;null;
1979-02-22;null;null;null;null;null;null;null;null;
1979-02-23;null;null;null;null;null;null;null;null;
1979-02-24;null;null;null;null;null;null;null;null;
1979-02-25;null;null;null;null;null;null;null;null;
1979-02-26;null;null;null;null;null;null;null;null;
1979-02-27;null;null;null;null;null;null;null;null;
1979-02-28;null;null;null;null;null;null;null;null;
1979-03-01;null;null;null;null;null;null;null;null;
1979-03-02;null;null;null;null;null;null;null;null;
1979-03-03;null;null;null;null;null;null;null;null;
1979-03-04;null;null;null;null;null;null;null;null;
1979-03-05;null;null;null;null;null;null;null;null;
1979-03-06;null;null;null;null;null;null;null;null;
1979-03-07;null;null;null;null;null;null;null;null;
1979-03-08;null;null;null;null;null;null;null;null;
1979-03-09;null;null;null;null;null;null;null;null;
1979-03-10;null;null;null;null;null;null;null;null;
1979-03-11;null;null;null;null;null;null;null;null;
1979-03-12;null;null;null;null;null;null;null;null;
1979-03-13;null;null;null;null;null;null;null;null;
1979-03-14;null;null;null;null;null;null;null;null;
1979-03-15;null;null;null;null;null;null;null;null;
1979-03-16;null;null;null;null;null;null;null;null;
1979-03-17;null;null;null;null;null;null;null;null;
1979-03-18;null;null;null;null;null;null;null;null;
1979-03-19;null;null;null;null;null;null;null;null;
1979-03-20;null;null;null;null;null;null;null;null;
1979-03-21;null;null;null;null;null;null;null;null;
1979-03-22;null;null;null;null;null;null;null;null;
1979-03-23;null;null;null;null;null;null;null;null;
1979-03-24;null;null;null;null;null;null;null;null;
1979-03-25;null;null;null;null;null;null;null;null;
1979-03-26;null;null;null;null;null;null;null;null;
1979-03-27;null;null;null;null;null;null;null;null;
1979-03-28;null;null;null;null;null;null;null;null;
1979-03-29;null;null;null;null;null;null;null;null;
1979-03-30;null;null;null;null;null;null;null;null;
1979-03-31;null;null;null;null;null;null;null;null;
1979-04-01;null;null;null;null;null;null;null;null;
1979-04-02;null;null;null;null;null;null;null;null;
1979-04-03;null;null;null;null;null;null;null;null;
1979-04-04;null;null;null;null;null;null;null;null;
1979-04-05;null;null;null;null;null;null;null;null;
1979-04-06;null;null;null;null;null;null;null;null;
1979-04-07;null;null;null;null;null;null;null;null;
1979-04-08;null;null;null;null;null;null;null;null;
1979-04-09;null;null;null;null;null;null;null;null;
1979-04-10;null;null;null;null;null;null;null;null;
1979-04-11;null;null;null;null;null;null;null;null;
1979-04-12;null;null;null;null;null;null;null;null;
1979-04-13;null;null;null;null;null;null;null;null;
1979-04-14;null;null;null;null;null;null;null;null;
1979-04-15;null;null;null;null;null;null;null;null;
1979-04-16;null;null;null;null;null;null;null;null;
1979-04-17;null;null;null;null;null;null;null;null;
1979-04-18;null;null;null;null;null;null;null;null;
1979-04-19;null;null;null;null;null;null;null;null;
1979-04-20;null;null;null;null;null;null;null;null;
1979-04-21;null;null;null;null;null;null;null;null;
1979-04-22;null;null;null;null;null;null;null;null;
1979-04-23;null;null;null;null;null;null;null;null;
1979-04-24;null;null;null;null;null;null;null;null;
1979-04-25;null;null;null;null;null;null;null;null;
1979-04-26;null;null;null;null;null;null;null;null;
1979-04-27;null;null;null;null;null;null;null;null;
1979-04-28;null;null;null;null;null;null;null;null;
1979-04-29;null;null;null;null;null;null;null;null;
1979-04-30;null;null;null;null;null;null;null;null;
1979-05-01;null;null;null;null;null;null;null;null;
1979-05-02;null;null;null;null;null;null;null;null;
1979-05-03;null;null;null;null;null;null;null;null;
1979-05-04;null;null;null;null;null;null;null;null;
1979-05-05;null;null;null;null;null;null;null;null;
1979-05-06;null;null;null;null;null;null;null;null;
1979-05-07;null;null;null;null;null;null;null;null;
1979-05-08;null;null;null;null;null;null;null;null;
1979-05-09;null;null;null;null;null;null;null;null;
1979-05-10;null;null;null;null;null;null;null;null;
1979-05-11;null;null;null;null;null;null;null;null;
1979-05-12;null;null;null;null;null;null;null;null;
1979-05-13;null;null;null;null;null;null;null;null;
1979-05-14;null;null;null;null;null;null;null;null;
1979-05-15;null;null;null;null;null;null;null;null;
1979-05-16;null;null;null;null;null;null;null;null;
1979-05-17;null;null;null;null;null;null;null;null;
1979-05-18;null;null;null;null;null;null;null;null;
1979-05-19;null;null;null;null;null;null;null;null;
1979-05-20;null;null;null;null;null;null;null;null;
1979-05-21;null;null;null;null;null;null;null;null;
1979-05-22;null;null;null;null;null;null;null;null;
1979-05-23;null;null;null;null;null;null;null;null;
1979-05-24;null;null;null;null;null;null;null;null;
1979-05-25;null;null;null;null;null;null;null;null;
1979-05-26;null;null;null;null;null;null;null;null;
1979-05-27;null;null;null;null;null;null;null;null;
1979-05-28;null;null;null;null;null;null;null;null;
1979-05-29;null;null;null;null;null;null;null;null;
1979-05-30;null;null;null;null;null;null;null;null;
1979-05-31;null;null;null;null;null;null;null;null;
1979-06-01;null;null;null;null;null;null;null;null;
1979-06-02;null;null;null;null;null;null;null;null;
1979-06-03;null;null;null;null;null;null;null;null;
1979-06-04;null;null;null;null;null;null;null;null;
1979-06-05;null;null;null;null;null;null;null;null;
1979-06-06;null;null;null;null;null;null;null;null;
1979-06-07;null;null;null;null;null;null;null;null;
1979-06-08;null;null;null;null;null;null;null;null;
1979-06-09;null;null;null;null;null;null;null;null;
1979-06-10;null;null;null;null;null;null;null;null;
1979-06-11;null;null;null;null;null;null;null;null;
1979-06-12;null;null;null;null;null;null;null;null;
1979-06-13;null;null;null;null;null;null;null;null;
1979-06-14;null;null;null;null;null;null;null;null;
1979-06-15;null;null;null;null;null;null;null;null;
1979-06-16;null;null;null;null;null;null;null;null;
1979-06-17;null;null;null;null;null;null;null;null;
1979-06-18;null;null;null;null;null;null;null;null;
1979-06-19;null;null;null;null;null;null;null;null;
1979-06-20;null;null;null;null;null;null;null;null;
1979-06-21;null;null;null;null;null;null;null;null;
1979-06-22;null;null;null;null;null;null;null;null;
1979-06-23;null;null;null;null;null;null;null;null;
1979-06-24;null;null;null;null;null;null;null;null;
1979-06-25;null;null;null;null;null;null;null;null;
1979-06-26;null;null;null;null;null;null;null;null;
1979-06-27;null;null;null;null;null;null;null;null;
1979-06-28;null;null;null;null;null;null;null;null;
1979-06-29;null;null;null;null;null;null;null;null;
1979-06-30;null;null;null;null;null;null;null;null;
1979-07-01;null;null;null;null;null;null;null;null;
